AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
49.0,Hạ Long,PM2.5,5.0,24.65,86.2,14.0,38.0,1001.3,26.0,49.0,5.0,21.3,1.0,2021-01-22 13:00:00,Good,20.9416,107.1158
38.0,Quảng Ninh,PM2.5,6.0,24.0,86.2,14.0,6.5,1001.3,24.0,38.0,24.0,21.3,1.0,2021-01-22 12:00:00,Good,21.0357507,106.7641068
235.0,Bắc Ninh,PM2.5,5.0,22.0,53.0,25.0,30.0,1015.0,138.0,235.0,19.0,22.0,2.0,2021-01-22 13:00:00,Very unhealthy,21.1232473,106.2883295
252.0,Bắc Ninh,PM2.5,2.0,22.0,53.0,15.0,9.0,1015.0,157.0,252.0,15.0,22.0,2.0,2021-01-22 13:00:00,Very unhealthy,21.0272212,106.0342099
191.0,Hà Nội,PM2.5,48.0,22.0,58.0,47.0,2.0,1016.0,157.0,191.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.03982,105.84726
161.0,Hà Nội,PM2.5,9.0,22.0,53.0,31.0,2.0,1015.0,90.0,161.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,20.98832,105.854897
164.0,Hà Nội,PM2.5,7.0,22.0,58.0,30.0,2.0,1016.0,114.0,164.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.01994,105.77056
183.0,Hà Nội,PM2.5,9.0,22.0,58.0,20.0,2.0,1016.0,126.0,183.0,1.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.01525,105.80013
93.0,Đà Nẵng,PM2.5,2.0,23.0,78.0,1.0,33.0,1012.5,25.0,32.0,6.0,22.5,7.9,2021-01-22 13:00:00,Moderate,16.074,108.217
147.0,Nha Trang,PM2.5,2.0,23.0,65.0,4.0,24.0,1011.0,42.0,54.0,3.0,27.0,6.6,2021-01-22 13:00:00,Unhealthy for sensitive groups,12.284358,109.192524
186.0,Hà Nội,PM2.5,14.0,22.0,58.0,25.0,2.0,1016.0,151.0,186.0,2.0,22.0,2.0,2021-01-22 12:00:00,Unhealthy,21.02022,105.81232
